Ticker,Date,Price
ASIANPAINT.NS,2023-01-10,2902.53515625
ASIANPAINT.NS,2023-01-11,2882.974365234375
ASIANPAINT.NS,2023-01-12,2859.002197265625
ASIANPAINT.NS,2023-01-13,2852.334716796875
ASIANPAINT.NS,2023-01-16,2859.10009765625
ASIANPAINT.NS,2023-01-17,2883.46484375
ASIANPAINT.NS,2023-01-18,2887.72998046875
ASIANPAINT.NS,2023-01-19,2810.1748046875
ASIANPAINT.NS,2023-01-20,2733.354736328125
ASIANPAINT.NS,2023-01-23,2730.0703125
ASIANPAINT.NS,2023-01-24,2755.70947265625
ASIANPAINT.NS,2023-01-25,2720.804931640625
ASIANPAINT.NS,2023-01-27,2669.477294921875
ASIANPAINT.NS,2023-01-30,2712.177001953125
ASIANPAINT.NS,2023-01-31,2672.61474609375
ASIANPAINT.NS,2023-02-01,2690.165283203125
ASIANPAINT.NS,2023-02-02,2652.80908203125
ASIANPAINT.NS,2023-02-03,2706.489990234375
ASIANPAINT.NS,2023-02-06,2700.4111328125
ASIANPAINT.NS,2023-02-07,2704.185791015625
ASIANPAINT.NS,2023-02-08,2711.588623046875
ASIANPAINT.NS,2023-02-09,2759.631591796875
ASIANPAINT.NS,2023-02-10,2749.82666015625
ASIANPAINT.NS,2023-02-13,2736.2470703125
ASIANPAINT.NS,2023-02-14,2722.765869140625
ASIANPAINT.NS,2023-02-15,2731.7373046875
ASIANPAINT.NS,2023-02-16,2751.150390625
ASIANPAINT.NS,2023-02-17,2778.260498046875
ASIANPAINT.NS,2023-02-20,2770.367431640625
ASIANPAINT.NS,2023-02-21,2762.082763671875
ASIANPAINT.NS,2023-02-22,2741.345458984375
ASIANPAINT.NS,2023-02-23,2653.103271484375
ASIANPAINT.NS,2023-02-24,2685.017578125
ASIANPAINT.NS,2023-02-27,2696.195068359375
ASIANPAINT.NS,2023-02-28,2773.55419921875
ASIANPAINT.NS,2023-03-01,2785.41748046875
ASIANPAINT.NS,2023-03-02,2778.554443359375
ASIANPAINT.NS,2023-03-03,2773.60302734375
ASIANPAINT.NS,2023-03-06,2808.606201171875
ASIANPAINT.NS,2023-03-08,2803.70361328125
ASIANPAINT.NS,2023-03-09,2797.82080078125
ASIANPAINT.NS,2023-03-10,2774.9267578125
ASIANPAINT.NS,2023-03-13,2729.824951171875
ASIANPAINT.NS,2023-03-14,2691.979248046875
ASIANPAINT.NS,2023-03-15,2772.18115234375
ASIANPAINT.NS,2023-03-16,2836.74560546875
ASIANPAINT.NS,2023-03-17,2806.742919921875
