Ticker,Date,Price
AAPL,2025-02-05,232.21469116210938
AAPL,2025-02-06,232.9638671875
AAPL,2025-02-07,227.3800048828125
AAPL,2025-02-10,227.64999389648438
AAPL,2025-02-11,232.6199951171875
AAPL,2025-02-12,236.8699951171875
AAPL,2025-02-13,241.52999877929688
AAPL,2025-02-14,244.60000610351562
AAPL,2025-02-18,244.47000122070312
AAPL,2025-02-19,244.8699951171875
AAPL,2025-02-20,245.8300018310547
AAPL,2025-02-21,245.5500030517578
AAPL,2025-02-24,247.10000610351562
AAPL,2025-02-25,247.0399932861328
AAPL,2025-02-26,240.36000061035156
AAPL,2025-02-27,237.3000030517578
AAPL,2025-02-28,241.83999633789062
AAPL,2025-03-03,238.02999877929688
AAPL,2025-03-04,235.92999267578125
AAPL,2025-03-05,235.74000549316406
AAPL,2025-03-06,235.3300018310547
AAPL,2025-03-07,239.07000732421875
AAPL,2025-03-10,227.47999572753906
AAPL,2025-03-11,220.83999633789062
AAPL,2025-03-12,216.97999572753906
AAPL,2025-03-13,209.67999267578125
AAPL,2025-03-14,213.49000549316406
AAPL,2025-03-17,214.0
AAPL,2025-03-18,212.69000244140625
AAPL,2025-03-19,215.24000549316406
AAPL,2025-03-20,214.10000610351562
AAPL,2025-03-21,218.27000427246094
AAPL,2025-03-24,220.72999572753906
AAPL,2025-03-25,223.75
AAPL,2025-03-26,221.52999877929688
AAPL,2025-03-27,223.85000610351562
AAPL,2025-03-28,217.89999389648438
AAPL,2025-03-31,222.1300048828125
AAPL,2025-04-01,223.19000244140625
AAPL,2025-04-02,223.88999938964844
AAPL,2025-04-03,203.19000244140625
AAPL,2025-04-04,188.3800048828125
AAPL,2025-04-07,181.4600067138672
AAPL,2025-04-08,172.4199981689453
AAPL,2025-04-09,198.85000610351562
AAPL,2025-04-10,190.4199981689453
AAPL,2025-04-11,198.14999389648438
AAPL,2025-04-14,202.52000427246094
AAPL,2025-04-15,202.13999938964844
AAPL,2025-04-16,194.27000427246094
AAPL,2025-04-17,196.97999572753906
AAPL,2025-04-21,193.16000366210938
AAPL,2025-04-22,199.74000549316406
AAPL,2025-04-23,204.60000610351562
AMZN,2025-02-05,236.1699981689453
AMZN,2025-02-06,238.8300018310547
AMZN,2025-02-07,229.14999389648438
AMZN,2025-02-10,233.13999938964844
AMZN,2025-02-11,232.75999450683594
AMZN,2025-02-12,228.92999267578125
AMZN,2025-02-13,230.3699951171875
AMZN,2025-02-14,228.67999267578125
AMZN,2025-02-18,226.64999389648438
AMZN,2025-02-19,226.6300048828125
AMZN,2025-02-20,222.8800048828125
AMZN,2025-02-21,216.5800018310547
AMZN,2025-02-24,212.7100067138672
AMZN,2025-02-25,212.8000030517578
AMZN,2025-02-26,214.35000610351562
AMZN,2025-02-27,208.74000549316406
AMZN,2025-02-28,212.27999877929688
AMZN,2025-03-03,205.02000427246094
AMZN,2025-03-04,203.8000030517578
AMZN,2025-03-05,208.36000061035156
AMZN,2025-03-06,200.6999969482422
AMZN,2025-03-07,199.25
AMZN,2025-03-10,194.5399932861328
AMZN,2025-03-11,196.58999633789062
AMZN,2025-03-12,198.88999938964844
AMZN,2025-03-13,193.88999938964844
AMZN,2025-03-14,197.9499969482422
AMZN,2025-03-17,195.74000549316406
AMZN,2025-03-18,192.82000732421875
AMZN,2025-03-19,195.5399932861328
AMZN,2025-03-20,194.9499969482422
AMZN,2025-03-21,196.2100067138672
AMZN,2025-03-24,203.25999450683594
AMZN,2025-03-25,205.7100067138672
AMZN,2025-03-26,201.1300048828125
AMZN,2025-03-27,201.36000061035156
AMZN,2025-03-28,192.72000122070312
AMZN,2025-03-31,190.25999450683594
AMZN,2025-04-01,192.1699981689453
AMZN,2025-04-02,196.00999450683594
AMZN,2025-04-03,178.41000366210938
AMZN,2025-04-04,171.0
AMZN,2025-04-07,175.25999450683594
AMZN,2025-04-08,170.66000366210938
AMZN,2025-04-09,191.10000610351562
AMZN,2025-04-10,181.22000122070312
AMZN,2025-04-11,184.8699951171875
AMZN,2025-04-14,182.1199951171875
AMZN,2025-04-15,179.58999633789062
AMZN,2025-04-16,174.3300018310547
AMZN,2025-04-17,172.61000061035156
AMZN,2025-04-21,167.32000732421875
AMZN,2025-04-22,173.17999267578125
AMZN,2025-04-23,180.60000610351562
ASML,2025-02-05,741.0231323242188
ASML,2025-02-06,737.5704345703125
ASML,2025-02-07,726.16455078125
ASML,2025-02-10,742.510009765625
ASML,2025-02-11,752.97998046875
ASML,2025-02-12,756.1699829101562
ASML,2025-02-13,776.989990234375
ASML,2025-02-14,751.5499877929688
ASML,2025-02-18,744.219970703125
ASML,2025-02-19,744.7999877929688
ASML,2025-02-20,743.0900268554688
ASML,2025-02-21,737.2100219726562
ASML,2025-02-24,735.9600219726562
ASML,2025-02-25,730.1900024414062
ASML,2025-02-26,746.9299926757812
ASML,2025-02-27,697.7000122070312
ASML,2025-02-28,709.0800170898438
ASML,2025-03-03,699.8599853515625
ASML,2025-03-04,708.219970703125
ASML,2025-03-05,739.75
ASML,2025-03-06,714.8400268554688
ASML,2025-03-07,732.219970703125
ASML,2025-03-10,683.1099853515625
ASML,2025-03-11,690.2100219726562
ASML,2025-03-12,703.3699951171875
ASML,2025-03-13,694.5900268554688
ASML,2025-03-14,714.0
ASML,2025-03-17,730.3300170898438
ASML,2025-03-18,731.1099853515625
ASML,2025-03-19,734.9099731445312
ASML,2025-03-20,734.0599975585938
ASML,2025-03-21,716.219970703125
ASML,2025-03-24,727.8400268554688
ASML,2025-03-25,726.739990234375
ASML,2025-03-26,705.760009765625
ASML,2025-03-27,690.6300048828125
ASML,2025-03-28,674.5800170898438
ASML,2025-03-31,662.6300048828125
ASML,2025-04-01,667.3400268554688
ASML,2025-04-02,669.010009765625
