Ticker,Date,Price
HCLTECH.NS,2025-04-03,1470.0999755859375
HCLTECH.NS,2025-04-04,1422.0999755859375
HCLTECH.NS,2025-04-07,1374.0999755859375
HCLTECH.NS,2025-04-08,1403.3499755859375
HCLTECH.NS,2025-04-09,1380.0
HCLTECH.NS,2025-04-11,1390.550048828125
HCLTECH.NS,2025-04-15,1426.5
HCLTECH.NS,2025-04-16,1431.699951171875
HCLTECH.NS,2025-04-17,1438.0
HCLTECH.NS,2025-04-21,1482.0
HCLTECH.NS,2025-04-22,1479.9000244140625
HCLTECH.NS,2025-04-23,1594.0
HCLTECH.NS,2025-04-24,1586.699951171875
HCLTECH.NS,2025-04-25,1578.199951171875
INFY.NS,2025-04-03,1496.5
INFY.NS,2025-04-04,1451.6500244140625
INFY.NS,2025-04-07,1396.75
INFY.NS,2025-04-08,1428.800048828125
INFY.NS,2025-04-09,1403.699951171875
INFY.NS,2025-04-11,1409.449951171875
INFY.NS,2025-04-15,1426.0
INFY.NS,2025-04-16,1413.0999755859375
INFY.NS,2025-04-17,1419.5
INFY.NS,2025-04-21,1451.0
INFY.NS,2025-04-22,1422.800048828125
INFY.NS,2025-04-23,1474.9000244140625
INFY.NS,2025-04-24,1471.4000244140625
INFY.NS,2025-04-25,1480.199951171875
TCS.NS,2025-04-03,3403.14990234375
TCS.NS,2025-04-04,3299.39990234375
TCS.NS,2025-04-07,3274.050048828125
TCS.NS,2025-04-08,3292.949951171875
TCS.NS,2025-04-09,3246.60009765625
TCS.NS,2025-04-11,3231.5
TCS.NS,2025-04-15,3248.199951171875
TCS.NS,2025-04-16,3273.800048828125
TCS.NS,2025-04-17,3298.89990234375
TCS.NS,2025-04-21,3321.60009765625
TCS.NS,2025-04-22,3314.39990234375
TCS.NS,2025-04-23,3413.0
TCS.NS,2025-04-24,3401.60009765625
TCS.NS,2025-04-25,3448.0
TECHM.NS,2025-04-03,1369.3499755859375
TECHM.NS,2025-04-04,1320.949951171875
TECHM.NS,2025-04-07,1288.0
TECHM.NS,2025-04-08,1314.4000244140625
TECHM.NS,2025-04-09,1272.75
TECHM.NS,2025-04-11,1282.25
TECHM.NS,2025-04-15,1301.699951171875
TECHM.NS,2025-04-16,1308.699951171875
TECHM.NS,2025-04-17,1306.800048828125
TECHM.NS,2025-04-21,1373.5
TECHM.NS,2025-04-22,1376.5
TECHM.NS,2025-04-23,1439.5999755859375
TECHM.NS,2025-04-24,1445.199951171875
TECHM.NS,2025-04-25,1462.0
WIPRO.NS,2025-04-03,256.3500061035156
WIPRO.NS,2025-04-04,246.3000030517578
WIPRO.NS,2025-04-07,242.89999389648438
WIPRO.NS,2025-04-08,247.25
WIPRO.NS,2025-04-09,236.64999389648438
WIPRO.NS,2025-04-11,239.75
WIPRO.NS,2025-04-15,244.0
WIPRO.NS,2025-04-16,247.64999389648438
WIPRO.NS,2025-04-17,236.89999389648438
WIPRO.NS,2025-04-21,238.4499969482422
WIPRO.NS,2025-04-22,234.14999389648438
WIPRO.NS,2025-04-23,243.60000610351562
WIPRO.NS,2025-04-24,242.75
WIPRO.NS,2025-04-25,240.89999389648438
